year,variable,source_report,page,source_type
2020,operating_revenue_nok_m,nas-annual-report-2021.pdf,17,Consolidated income statement - comparative
2020,operating_profit_ebit_nok_m,nas-annual-report-2021.pdf,17,Consolidated income statement - comparative
2020,interest_expense_nok_m,nas-annual-report-2021.pdf,17,Consolidated income statement - comparative
2020,total_equity_nok_m,nas-annual-report-2021.pdf,18,Consolidated statement of financial position - comparative
2020,total_noncurrent_liabilities_nok_m,nas-annual-report-2021.pdf,18,Consolidated statement of financial position - comparative
2020,noncurrent_borrowings_nok_m,nas-annual-report-2021.pdf,18,Consolidated statement of financial position - comparative
2020,noncurrent_lease_liabilities_nok_m,nas-annual-report-2021.pdf,18,Consolidated statement of financial position - comparative
2020,current_assets_nok_m,nas-annual-report-2021.pdf,18,Consolidated statement of financial position - comparative
2020,inventory_nok_m,nas-annual-report-2021.pdf,18,Consolidated statement of financial position - comparative
2020,current_liabilities_nok_m,nas-annual-report-2021.pdf,18,Consolidated statement of financial position - comparative
2020,current_borrowings_nok_m,nas-annual-report-2021.pdf,18,Consolidated statement of financial position - comparative
2020,current_lease_liabilities_nok_m,nas-annual-report-2021.pdf,18,Consolidated statement of financial position - comparative
2020,total_assets_nok_m,nas-annual-report-2021.pdf,18,Consolidated statement of financial position - comparative
2020,total_liabilities_nok_m,nas-annual-report-2021.pdf,18,Consolidated statement of financial position - comparative
2020,retained_earnings_nok_m,nas-annual-report-2021.pdf,18,Consolidated statement of financial position - comparative
2021,operating_revenue_nok_m,nas-annual-report-2021.pdf,17,Consolidated income statement
2021,operating_profit_ebit_nok_m,nas-annual-report-2021.pdf,17,Consolidated income statement
2021,interest_expense_nok_m,nas-annual-report-2021.pdf,17,Consolidated income statement
2021,total_equity_nok_m,nas-annual-report-2021.pdf,18,Consolidated statement of financial position
2021,total_noncurrent_liabilities_nok_m,nas-annual-report-2021.pdf,18,Consolidated statement of financial position
2021,noncurrent_borrowings_nok_m,nas-annual-report-2021.pdf,18,Consolidated statement of financial position
2021,noncurrent_lease_liabilities_nok_m,nas-annual-report-2021.pdf,18,Consolidated statement of financial position
2021,current_assets_nok_m,nas-annual-report-2021.pdf,18,Consolidated statement of financial position
2021,inventory_nok_m,nas-annual-report-2021.pdf,18,Consolidated statement of financial position
2021,current_liabilities_nok_m,nas-annual-report-2021.pdf,18,Consolidated statement of financial position
2021,current_borrowings_nok_m,nas-annual-report-2021.pdf,18,Consolidated statement of financial position
2021,current_lease_liabilities_nok_m,nas-annual-report-2021.pdf,18,Consolidated statement of financial position
2021,total_assets_nok_m,nas-annual-report-2021.pdf,18,Consolidated statement of financial position
2021,total_liabilities_nok_m,nas-annual-report-2021.pdf,18,Consolidated statement of financial position
2021,retained_earnings_nok_m,nas-annual-report-2021.pdf,18,Consolidated statement of financial position
2021,employee_equivalent,nas-annual-report-2021.pdf,35,Note 6 - payroll expenses and number of employees
2021,employee_measure,nas-annual-report-2021.pdf,35,Note 6 - payroll expenses and number of employees
2022,operating_revenue_nok_m,norwegian-annual-report-2022.pdf,54,Consolidated income statement
